c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,00,11,10,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,00,01,00,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,00,00,00,00,00,00,00,00,10,10,10,00,11,11,11
11,11,11,11,11,11,11,11,11,11,11,00,00,10,10,10,10,10,00,10,10,10,10,10,00,11,11,11
11,11,11,11,11,11,11,11,11,11,00,10,10,10,10,10,10,10,10,10,10,10,10,10,00,11,11,11
11,11,11,00,00,00,11,11,11,11,00,10,10,10,10,01,01,10,10,10,10,10,10,10,00,11,11,11
11,11,11,00,10,11,00,00,00,00,10,10,10,10,10,10,10,10,10,10,10,10,10,01,01,00,11,11
11,11,00,10,11,11,11,11,01,01,00,10,10,10,10,10,10,10,10,10,10,10,01,01,00,00,11,11
11,11,00,10,11,11,01,01,01,01,10,10,10,10,10,10,10,10,10,01,01,01,01,01,01,10,00,11
11,11,00,10,11,10,10,01,10,10,10,10,10,10,10,10,10,00,01,01,01,01,01,01,01,10,00,11
11,00,11,11,01,10,10,10,10,10,01,10,10,00,10,10,10,10,01,01,01,01,01,01,01,01,01,00
11,00,01,10,10,10,10,01,10,10,11,10,01,01,00,10,10,10,10,01,01,01,01,01,01,10,01,00
00,11,10,10,10,10,01,01,10,10,10,11,01,11,01,10,10,10,10,01,00,01,01,01,01,01,01,00
00,11,11,10,10,10,10,10,10,10,10,11,01,11,01,10,10,10,10,01,01,01,01,00,01,01,01,00
00,01,01,10,10,10,10,10,10,10,01,11,00,01,01,10,10,10,10,10,01,01,01,01,01,01,01,00
00,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,01,01,01,10,10,01,00,11
11,00,01,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,00,11,11
11,11,00,10,01,01,01,01,01,01,01,01,00,10,10,10,01,10,10,10,10,10,10,10,10,00,11,11
11,11,11,00,10,10,10,10,10,10,00,10,10,10,10,10,10,10,10,10,01,01,10,00,10,00,11,11
11,11,11,00,10,10,00,10,10,10,10,01,01,01,01,10,10,10,10,10,00,10,01,01,10,00,11,11
11,11,11,11,00,10,10,10,01,10,01,01,01,01,10,01,00,10,10,10,10,00,01,01,10,00,11,11
11,11,11,11,00,01,10,10,10,10,00,10,01,01,10,10,10,10,10,10,10,10,01,00,10,00,11,11
11,11,11,11,00,10,10,10,10,00,11,00,10,00,10,00,10,10,10,00,10,10,10,10,10,00,11,11
11,11,11,11,11,00,10,10,00,11,11,11,00,00,01,10,10,10,00,11,00,10,10,10,10,00,11,11
11,11,11,11,11,00,00,00,10,11,11,11,11,00,10,10,10,00,11,11,11,00,00,00,00,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,00,00,00,11,11,11,11,11,11,11,11,11,11,11
